127.0.0.1 - - [01/Apr/2021:20:56:53 -0300] "GET / HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [01/Apr/2021:20:56:54 -0300] "GET /ProjetoTrilhaWeb/ HTTP/1.1" 200 1495
0:0:0:0:0:0:0:1 - - [01/Apr/2021:20:56:54 -0300] "GET /ProjetoTrilhaWeb/css/site.css HTTP/1.1" 200 2362
0:0:0:0:0:0:0:1 - - [01/Apr/2021:20:56:54 -0300] "GET /ProjetoTrilhaWeb/js/site.js HTTP/1.1" 200 2566
0:0:0:0:0:0:0:1 - - [01/Apr/2021:20:56:54 -0300] "GET /ProjetoTrilhaWeb/imgs/geladeira1.png HTTP/1.1" 200 21198
0:0:0:0:0:0:0:1 - - [01/Apr/2021:20:56:54 -0300] "GET /ProjetoTrilhaWeb/imgs/geladeira2.png HTTP/1.1" 200 18537
0:0:0:0:0:0:0:1 - - [01/Apr/2021:20:56:55 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/cabecalho.html HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [01/Apr/2021:20:56:55 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/menu.html HTTP/1.1" 200 266
0:0:0:0:0:0:0:1 - - [01/Apr/2021:20:56:55 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/rodape.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [01/Apr/2021:20:56:55 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 105602
0:0:0:0:0:0:0:1 - - [01/Apr/2021:20:57:06 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 979
0:0:0:0:0:0:0:1 - - [01/Apr/2021:20:57:06 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 3229
0:0:0:0:0:0:0:1 - - [01/Apr/2021:20:57:06 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [01/Apr/2021:20:57:06 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [01/Apr/2021:20:57:06 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [01/Apr/2021:20:57:07 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [01/Apr/2021:20:57:07 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [01/Apr/2021:20:57:07 -0300] "GET /favicon.ico HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [01/Apr/2021:20:57:07 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 105602
0:0:0:0:0:0:0:1 - - [01/Apr/2021:20:57:09 -0300] "GET /ProjetoTrilhaWeb/pages/admin/marca/ HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [01/Apr/2021:20:57:09 -0300] "GET /ProjetoTrilhaWeb/js/marca.js HTTP/1.1" 200 4350
0:0:0:0:0:0:0:1 - - [01/Apr/2021:20:57:09 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarNome?valorBusca= HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [01/Apr/2021:20:57:09 -0300] "GET /ProjetoTrilhaWeb/imgs/edit.png HTTP/1.1" 200 9699
